Ticker,Sector
HITI,Health Care
HIVE,Financials
HLIT,Information Technology
HLMN,Industrials
HLNE,Financials
HNNA,Financials
HNRG,Energy
HNST,Consumer Discretionary
HOFT,Consumer Discretionary
HOFV,Consumer Discretionary
HOLX,Health Care
HON,Industrials
HOOD,Financials
HOOK,Health Care
HOUR,Consumer Discretionary
HOWL,Health Care
HPK,Energy
HQI,Industrials
HQY,Health Care
HRMY,Health Care
HROW,Health Care
HRTX,Health Care
HSDT,Health Care
HSIC,Health Care
HSII,Industrials
HSON,Industrials
HST,Real Estate
HTCR,Information Technology
HTLD,Industrials
HTO,Health Care
HTZ,Consumer Discretionary
HUBG,Industrials
HUMA,Health Care
HURC,Industrials
HURN,Industrials
HUT,Financials
HWH,Consumer Discretionary
HWKN,Materials
HYFM,Industrials
HYPR,Information Technology
IAC,Communication Services
IART,Health Care
IAS,Communication Services
IBEX,Information Technology
IBIO,Health Care
IBKR,Financials
IBRX,Health Care
ICAD,Health Care
ICCC,Health Care
ICFI,Industrials
ICON,Consumer Discretionary
ICU,Health Care
ICUI,Health Care
IDAI,Information Technology
IDCC,Information Technology
IDN,Information Technology
IDXX,Health Care
IDYA,Health Care
IESC,Industrials
IFRX,Health Care
IGMS,Health Care
IHRT,Communication Services
III,Information Technology
IIIV,Information Technology
ILMN,Health Care
ILPT,Real Estate
IMCC,Health Care
IMG,Health Care
IMKTA,Consumer Staples
IMMR,Information Technology
IMNM,Health Care
IMPP,Energy
IMXI,Financials
INBS,Health Care
INBX,Health Care
INCY,Health Care
INDI,Information Technology
INGN,Health Care
INHD,Industrials
INM,Health Care
INMB,Health Care
INNV,Health Care
INO,Health Care
INOD,Information Technology
INSE,Consumer Discretionary
INSG,Information Technology
INSM,Health Care
INTA,Information Technology
INTC,Information Technology
INTG,Real Estate
INTZ,Information Technology
INV,Financials
INVA,Health Care
INVE,Information Technology
IONS,Health Care
IOSP,Materials
IOVA,Health Care
IPA,Health Care
IPAR,Consumer Staples
IPDN,Communication Services
IPGP,Information Technology
IPM,Health Care
IPSC,Health Care
IPW,Consumer Discretionary
IPWR,Information Technology
IQST,Communication Services
IRBT,Consumer Discretionary
IRD,Information Technology
IRDM,Communication Services
IRIX,Health Care
IRMD,Health Care
IRTC,Health Care
IRWD,Health Care
ISPC,Health Care
ISPO,Consumer Discretionary
ISPR,Consumer Staples
ISSC,Industrials
ITOS,Health Care
ITRI,Industrials
IVDA,Information Technology
IVF,Health Care
IVP,Consumer Discretionary
IVVD,Health Care
IXHL,Health Care
IZEA,Communication Services
JACK,Consumer Discretionary
JAGX,Health Care
JAKK,Consumer Discretionary
JAMF,Information Technology
JANX,Health Care
JBHT,Industrials
JBLU,Industrials
JBSS,Consumer Staples
JCTC,Unknown
JDZG,Consumer Discretionary
JJSF,Consumer Staples
JKHY,Information Technology
JOUT,Consumer Discretionary
JRSH,Consumer Discretionary
JTAI,Information Technology
JVA,Consumer Staples
JYNT,Health Care
KALU,Materials
KAVL,Consumer Staples
KDP,Consumer Staples
KE,Industrials
KELYA,Industrials
KELYB,Industrials
KEQU,Industrials
KGEI,Health Care
KHC,Consumer Staples
KIDS,Health Care
KIDZ,Consumer Discretionary
KIRK,Consumer Discretionary
KITT,Industrials
KLAC,Information Technology
KLIC,Information Technology
KLTR,Information Technology
KLXE,Energy
KMB,Consumer Staples
KMTS,Unknown
KOPN,Information Technology
KOSS,Consumer Discretionary
KPLT,Financials
KPRX,Health Care
KPTI,Health Care
KRMD,Health Care
KRON,Health Care
KROS,Health Care
KRRO,Health Care
KRT,Consumer Discretionary
KRUS,Consumer Discretionary
KRYS,Health Care
KSCP,Industrials
KTCC,Information Technology
KTOS,Industrials
KURA,Health Care
KVHI,Information Technology
KWE,Health Care
KYMR,Health Care
LAB,Health Care
LAND,Real Estate
LASE,Industrials
LASR,Information Technology
LAUR,Consumer Discretionary
LAZR,Consumer Discretionary
LBRDA,Communication Services
LBRDK,Communication Services
LBTYA,Communication Services
LBTYB,Communication Services
LBTYK,Communication Services
LCID,Consumer Discretionary
LCUT,Consumer Discretionary
LDWY,Consumer Discretionary
LE,Consumer Discretionary
LECO,Industrials
LEDS,Information Technology
LEE,Communication Services
LEGH,Consumer Discretionary
LESL,Consumer Discretionary
LEXX,Health Care
LFCR,Health Care
LFMD,Health Care
LFST,Health Care
LFUS,Information Technology
LFVN,Consumer Staples
LGIH,Consumer Discretionary
LGMK,Health Care
LGND,Health Care
LGO,Consumer Staples
LGVN,Health Care
LIDR,Information Technology
LIF,Financials
LILA,Communication Services
LILAK,Communication Services
LINC,Consumer Discretionary
LIND,Consumer Discretionary
LINE,Communication Services
LINK,Information Technology
LIPO,Health Care
LIQT,Industrials
LITE,Information Technology
LIVE,Consumer Discretionary
LKQ,Consumer Discretionary
LMAT,Health Care
LMB,Industrials
LMNR,Consumer Staples
LNSR,Health Care
LNT,Utilities
LNTH,Health Care
LNW,Consumer Discretionary
LNZA,Industrials
LOCO,Consumer Discretionary
LOOP,Materials
LOPE,Consumer Discretionary
LOVE,Consumer Discretionary
LPCN,Health Care
LPLA,Financials
LPRO,Financials
LPSN,Information Technology
LPTH,Information Technology
LQDA,Health Care
LQDT,Consumer Discretionary
LRCX,Information Technology
LRHC,Real Estate
LSAK,Information Technology
LSCC,Information Technology
LSEA,Consumer Staples
LSH,Health Care
LSTA,Health Care
LSTR,Industrials
LTRX,Information Technology
LTRY,Consumer Discretionary
LUCD,Health Care
LUCY,Health Care
LULU,Consumer Discretionary
LUNG,Health Care
LUNR,Industrials
LVLU,Consumer Discretionary
LVO,Communication Services
LWAY,Consumer Staples
LWLG,Information Technology
LXRX,Health Care
LYEL,Health Care
LYFT,Consumer Discretionary
LYRA,Health Care
LYTS,Industrials
LZ,Information Technology
MAMA,Consumer Staples
MAMO,Consumer Staples
MAPS,Information Technology
MAR,Consumer Discretionary
MARA,Information Technology
MASI,Health Care
MASS,Information Technology
MAT,Consumer Discretionary
MATW,Industrials
MAYS,Real Estate
MAZE,Health Care
MBUU,Consumer Discretionary
MCFT,Consumer Discretionary
MCHP,Information Technology
MCHX,Communication Services
MCRI,Consumer Discretionary
MCW,Consumer Discretionary
MDAI,Information Technology
MDB,Information Technology
MDBH,Health Care
MDGL,Health Care
MDIA,Communication Services
MDLZ,Consumer Staples
MDRR,Real Estate
MDXG,Health Care
MEDP,Health Care
MELI,Consumer Discretionary
MEOH,Materials
MERC,Industrials
MESA,Industrials
META,Communication Services
METC,Materials
METCB,Materials
MGEE,Utilities
MGNI,Communication Services
MGNX,Health Care
MGPI,Consumer Staples
MGRC,Industrials
MGRX,Health Care
MGX,Information Technology
MIDD,Industrials
MIGI,Financials
MIND,Industrials
MIRM,Health Care
MITK,Information Technology
MKSI,Information Technology
MKTW,Financials
MKZR,Health Care
MLAB,Information Technology
MLKN,Industrials
MMSI,Health Care
MNKD,Health Care
MNRO,Consumer Discretionary
MNST,Consumer Staples
MNTK,Utilities
MNTS,Industrials
MOBX,Industrials
MODV,Health Care
MOGO,Financials
MORN,Financials
MOVE,Information Technology
MPAA,Consumer Discretionary
MPWR,Information Technology
MQ,Information Technology
MRCY,Industrials
MRIN,Information Technology
MRKR,Health Care
MRNA,Health Care
MRSN,Health Care
MRUS,Health Care
MRVI,Health Care
MRVL,Information Technology
MSAI,Information Technology
MSEX,Utilities
MSFT,Information Technology
MSS,Consumer Discretionary
MSTR,Information Technology
MTCH,Communication Services
MTEX,Consumer Staples
MTRX,Energy
MTSI,Information Technology
MU,Information Technology
MULN,Consumer Discretionary
MVIS,Information Technology
MVST,Industrials
MXCT,Health Care
MXL,Information Technology
MYGN,Health Care
MYPS,Consumer Discretionary
MYRG,Industrials
MYSZ,Information Technology
NAGE,Health Care
NAII,Consumer Staples
NAKA,Health Care
NAOV,Health Care
NATH,Consumer Discretionary
NATR,Consumer Staples
NBIX,Health Care
NCMI,Communication Services
NCNO,Information Technology
NCPL,Financials
NCRA,Consumer Staples
NCSM,Energy
NDAQ,Financials
NDLS,Consumer Discretionary
NDSN,Industrials
NEGG,Consumer Discretionary
NEHC,Health Care
NEO,Health Care
NEOG,Health Care
NEON,Information Technology
NEOV,Health Care
NEPH,Health Care
NEUP,Health Care
NFE,Energy
NFLX,Communication Services
NGNE,Health Care
NITO,Materials
NIXX,Health Care
NKTR,Health Care
NMRK,Real Estate
NMTC,Health Care
NN,Information Technology
NNBR,Industrials
NOTV,Health Care
NOVT,Information Technology
NPCE,Health Care
NRC,Industrials
NRDS,Financials
NRIX,Health Care
NSIT,Information Technology
NSPR,Health Care
NSSC,Industrials
NSYS,Information Technology
NTAP,Information Technology
NTCT,Information Technology
NTGR,Information Technology
NTHI,Health Care
NTIC,Materials
NTLA,Health Care
NTRA,Health Care
NTRB,Health Care
NTRP,Health Care
NTWK,Information Technology
NUTX,Health Care
NUWE,Health Care
NVAX,Health Care
NVDA,Information Technology
NVEC,Information Technology
NVEE,Industrials
NVFY,Consumer Discretionary
NVTS,Information Technology
NVVE,Consumer Discretionary
NWE,Utilities
NWL,Consumer Discretionary
NWPX,Industrials
NWS,Communication Services
NWSA,Communication Services
NWTG,Consumer Discretionary
NXGL,Health Care
NXL,Health Care
NXPI,Information Technology
NXPL,Information Technology
NXST,Communication Services
NXT,Information Technology
NXXT,Health Care
OABI,Health Care
OB,Health Care
OBLG,Information Technology
OCC,Information Technology
OCGN,Health Care
OCTO,Consumer Discretionary
OCUL,Health Care
OCX,Health Care
ODFL,Industrials
ODP,Consumer Discretionary
ODYS,Health Care
OESX,Industrials
OFIX,Health Care
OFLX,Industrials
OGI,Health Care
OKTA,Information Technology
OLB,Information Technology
OLLI,Consumer Discretionary
OLPX,Consumer Discretionary
OM,Health Care
OMCL,Health Care
OMEX,Industrials
ON,Information Technology
ONCO,Health Care
ONDS,Industrials
ONEW,Consumer Discretionary
ONFO,Communication Services
ONMD,Health Care
OPAL,Utilities
OPCH,Health Care
OPEN,Real Estate
OPI,Real Estate
OPK,Health Care
OPRX,Health Care
OPXS,Industrials
ORGN,Materials
ORLY,Consumer Discretionary
ORMP,Health Care
OSIS,Information Technology
OSRH,Health Care
OSS,Information Technology
OSUR,Health Care
OSW,Consumer Discretionary
OTEX,Information Technology
OTRK,Health Care
OTTR,Utilities
OUST,Information Technology
OVID,Health Care
PACB,Health Care
PAHC,Health Care
PAL,Industrials
PAMT,Health Care
PANL,Industrials
PANW,Information Technology
PARA,Communication Services
PARAA,Communication Services
PATK,Consumer Discretionary
PAVM,Health Care
PAX,Financials
PAYO,Financials
PAYS,Information Technology
PAYX,Information Technology
PBPB,Consumer Discretionary
PBYI,Health Care
PCAR,Industrials
PCH,Real Estate
PCRX,Health Care
PCT,Health Care
PCTY,Information Technology
PCYO,Utilities
PDEX,Health Care
PDFS,Information Technology
PDYN,Information Technology
PECO,Real Estate
PEGA,Information Technology
PENN,Consumer Discretionary
PEP,Consumer Staples
PESI,Industrials
PET,Health Care
PETS,Consumer Discretionary
PGEN,Health Care
PGNY,Health Care
PHAT,Health Care
PHUN,Information Technology
PI,Information Technology
PIII,Health Care
PINC,Health Care
PKOH,Industrials
PLAB,Information Technology
PLAY,Consumer Discretionary
PLBY,Consumer Discretionary
PLCE,Consumer Discretionary
PLL,Materials
PLPC,Industrials
PLTK,Consumer Discretionary
PLTR,Information Technology
PLUG,Energy
PLUR,Health Care
PLUS,Information Technology
PLXS,Information Technology
PMTS,Financials
PNRG,Energy
PNTG,Health Care
POAI,Health Care
POCI,Health Care
PODC,Communication Services
PODD,Health Care
POET,Information Technology
POLA,Industrials
POOL,Consumer Discretionary
POWL,Industrials
POWW,Consumer Discretionary
PPC,Consumer Staples
PPIH,Industrials
PPSI,Industrials
PRAA,Financials
PRAX,Health Care
PRCH,Information Technology
PRCT,Health Care
PRDO,Consumer Discretionary
PRGS,Information Technology
PRLD,Health Care
PRME,Health Care
PROF,Consumer Discretionary
PROP,Real Estate
PRPH,Health Care
PRPL,Consumer Discretionary
PRPO,Health Care
PRSO,Information Technology
PRTH,Information Technology
